Date,Open,High,Low,Volume,Close
29-11-2016,39.112,39.346001,37.900002,22196500,37.914001
30-11-2016,38.200001,38.377998,37.5,17735500,37.880001
01-12-2016,37.650002,37.706001,36.200001,25632000,36.375999
02-12-2016,36.576,36.976002,36,20211500,36.293999
05-12-2016,36.501999,37.778,36.501999,20361000,37.360001
06-12-2016,37.104,37.316002,36.535999,16958000,37.169998
07-12-2016,37.23,38.68,37,27309500,38.630001
08-12-2016,38.41,38.5,37.908001,15970500,38.458
09-12-2016,38.174,38.768002,38.161999,13612500,38.436001
12-12-2016,38.560001,38.883999,38.236,12194500,38.486
13-12-2016,38.636002,40.256001,38.599998,34119500,39.630001
14-12-2016,39.748001,40.599998,39.352001,20754500,39.737999
15-12-2016,39.681999,40.147999,39.478001,16098000,39.515999
16-12-2016,39.616001,40.518002,39.52,18984500,40.498001
19-12-2016,40.498001,40.889999,39.967999,17440500,40.546001
20-12-2016,40.610001,41.799999,40.5,23445500,41.757999
21-12-2016,41.689999,42.445999,41.481998,26038000,41.540001
22-12-2016,41.644001,41.998001,41.299999,15555500,41.689999
23-12-2016,41.599998,42.689999,41.542,23352500,42.667999
27-12-2016,42.976002,44.450001,42.883999,29578500,43.905998
28-12-2016,44.306,44.759998,43.439999,18912500,43.948002
29-12-2016,43.712002,43.84,42.824001,20225000,42.936001
30-12-2016,43.259998,43.5,42.335999,23213000,42.737999
03-01-2017,42.972,44.066002,42.192001,29616500,43.397999
04-01-2017,42.950001,45.599998,42.862,56067500,45.397999
05-01-2017,45.284,45.495998,44.389999,29558500,45.349998
06-01-2017,45.386002,46.062,45.09,27639500,45.801998
09-01-2017,45.793999,46.383999,45.599998,19897500,46.256001
10-01-2017,46.400002,46.400002,45.377998,18300000,45.973999
11-01-2017,45.813999,45.995998,45.335999,18254000,45.945999
12-01-2017,45.812,46.139999,45.116001,18951000,45.917999
13-01-2017,46,47.57,45.917999,30465000,47.549999
17-01-2017,47.34,47.992001,46.874001,23087500,47.116001
18-01-2017,47.330002,47.942001,47.116001,18845000,47.672001
19-01-2017,49.450001,49.736,48.150002,38661500,48.751999
20-01-2017,49.091999,49.200001,48.602001,21021500,48.945999
23-01-2017,49.169998,50.178001,49.099998,31314500,49.784
